1	87	0.971055
1	205	1.25281
1	667	0.998773
1	877	0.505832
1	967	1.13565
1	991	1.14048
2	10	0.947022
2	183	1.26955
2	226	0.561709
2	837	1.10371
2	881	1.0356
2	999	1.09114
3	70	1.06535
3	561	1.22725
3	711	1.04995
3	771	1.21696
3	886	0.279266
3	975	1.16773
4	90	0.710259
4	404	1.19765
4	885	1.12089
4	948	1.05892
4	960	1.12253
4	987	0.795139
5	212	1.5
5	675	1.05615
5	850	1.12479
5	856	0.00204107
5	931	1.16112
5	992	1.15794
6	403	0.966045
6	524	0.894095
6	766	1.21872
6	804	1.14502
6	962	1.17022
6	982	0.602582
7	182	1.01353
7	277	1.44465
7	342	0.916429
7	864	0.847375
7	905	0.876124
7	999	0.846542
8	196	1.16032
8	264	1.17087
8	352	1.12582
8	593	0.777213
8	607	0.675414
8	994	1.04298
9	165	0.773288
9	228	1.09952
9	291	0.917307
9	437	0.788472
9	651	0.921417
9	877	1.50195
10	2	0.947022
10	36	1.09083
10	599	0.54286
10	697	1.11183
10	704	1.17679
10	706	1.12054
11	60	1.04736
11	85	1.5
11	516	0.870073
11	683	0.914247
11	851	0.783478
11	992	0.884842
12	562	1.08362
12	786	1.14936
12	833	1.157
12	892	0.684335
12	973	1.11002
12	989	0.817446
13	301	0.964066
13	607	1.47984
13	627	0.96047
13	879	0.838302
13	894	0.880669
13	974	0.856493
14	640	1.18544
14	656	1.29531
14	830	1.17093
14	881	1.05749
14	941	1.08613
14	947	0.21362
15	238	1.02857
15	290	0.687334
15	411	1.11678
15	820	1.18619
15	942	1.16846
15	997	0.814053
16	421	1.08021
16	854	0.914369
16	862	1.0997
16	916	0.58274
16	976	1.1754
16	980	1.14468
17	286	1.00854
17	309	1.18364
17	580	0.635743
17	740	1.1433
17	941	1.16453
17	969	0.863468
18	39	0.837861
18	450	0.933011
18	513	1.46255
18	534	0.941774
18	753	0.851388
18	996	0.935967
19	593	0.894449
19	661	0.970425
19	832	0.831658
19	875	0.956799
19	924	0.846669
19	983	1.49795
20	114	1.19119
20	762	0.68632
20	895	0.809337
20	898	1.12245
20	945	1.07516
20	979	1.11119
21	186	1.23952
21	405	0.740473
21	617	1.15917
21	627	0.714891
21	851	1.04209
21	978	1.05923
22	119	1.01962
22	273	1.1828
22	554	1.09071
22	712	1.19797
22	906	0.360797
22	990	1.19169
23	161	1.02046
23	494	1.16514
23	520	1.20451
23	713	1.10989
23	756	0.79033
23	985	0.707946
24	369	0.975268
24	436	0.874486
24	534	0.912424
24	582	1.4734
24	804	0.824019
24	903	0.913804
25	435	1.4664
25	516	0.854178
25	650	0.970091
25	794	0.960237
25	910	0.881177
25	997	0.834317
26	458	0.926779
26	616	0.842178
26	715	1.5008
26	868	0.920146
26	876	0.948537
